Before erosion ID,Initial X,Initial Y,Initial Z,Norm Initial X,Norm Initial Y,Norm Initial Z,Initial connectivity,Before erosion ID.1,Erosion state,Encoded erosion state,Z location half,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,3 connectivity,1 connectivity,2 Connectivity,4 Connectivity,5 Connectivity,Normalized X,Normalized Y,Normalized Z,Threshold Z
400,0.101,0.251,0.227265,0.167,0.726,0.614,3,400,Not eroded,0,1,1,0,0,0,1,0,0,1,1,0.166976571,0.725519288,0.614292746,1
407,0.178,0.324,0.281359,0.453,0.996,0.808,0,407,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.453328375,0.996290801,0.807595199,1
410,0.251,0.202,0.3135068,0.725,0.544,0.922,0,410,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.72480476,0.543768546,0.922473903,1
411,0.0572,0.283,0.2833709,0.00409,0.844,0.815,0,411,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.00409074,0.84421365,0.814784632,1
413,0.267,0.227,0.2299171,0.784,0.636,0.624,5,413,Not eroded,0,1,1,0,0,0,0,0,0,0,1,0.784306434,0.636498516,0.623769905,1
414,0.259,0.188,0.3024129,0.755,0.492,0.883,0,414,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.754555597,0.491839763,0.882830355,1
416,0.0716,0.119,0.2495547,0.0576,0.236,0.694,4,416,Not eroded,0,1,1,1,1,0,0,0,0,1,1,0.057642246,0.235905045,0.693943977,1
418,0.11,0.0887,0.2390715,0.2,0.124,0.656,3,418,Not eroded,0,1,1,1,0,0,1,0,0,1,1,0.200446263,0.12351632,0.656482738,1
420,0.186,0.0777,0.2996442,0.483,0.0827,0.873,0,420,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.483079212,0.082715134,0.872936531,1
427,0.145,0.202,0.2344438,0.331,0.544,0.64,5,427,Not eroded,0,1,1,1,0,0,0,0,0,0,1,0.330606173,0.543768546,0.639945862,1
433,0.281,0.164,0.2494957,0.836,0.403,0.694,3,433,Not eroded,0,1,1,1,1,0,1,0,0,1,1,0.836370398,0.402818991,0.693733143,1
434,0.238,0.234,0.2627282,0.676,0.662,0.741,6,434,Not eroded,0,1,1,1,1,1,0,0,0,0,0,0.67645965,0.662462908,0.741018881,1
436,0.163,0.257,0.2812489,0.398,0.748,0.807,0,436,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.397545556,0.747774481,0.807201762,1
439,0.205,0.162,0.2266252,0.554,0.395,0.612,4,439,Not eroded,0,1,1,0,0,0,0,0,0,1,1,0.553737449,0.395400593,0.61200645,1
445,0.246,0.269,0.3113561,0.706,0.792,0.915,0,445,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.706210487,0.792284866,0.914788474,1
448,0.15,0.257,0.3250069,0.349,0.748,0.964,0,448,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0.349200446,0.747774481,0.963568988,1
449,0.0589,0.145,0.2824346,0.0104,0.332,0.811,0,449,Not eroded,0,1,1,1,1,1,1,1,1,1,1,0.010412793,0.332344214,0.811438807,1
450,0.0731,0.262,0.3250721,0.0632,0.766,0.964,0,450,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.063220528,0.766320475,0.963801977,1
452,0.248,0.117,0.2374066,0.714,0.228,0.651,4,452,Not eroded,0,1,1,1,0,0,0,0,0,1,1,0.713648196,0.228486647,0.650533293,1
454,0.258,0.32,0.2443058,0.751,0.981,0.675,4,454,Not eroded,0,1,1,1,1,0,0,0,0,1,1,0.750836742,0.981454006,0.675187271,1
456,0.124,0.151,0.2579831,0.253,0.355,0.724,3,456,Not eroded,0,1,1,1,1,1,1,0,0,1,1,0.252510227,0.354599407,0.724062482,1
459,0.212,0.129,0.2325981,0.58,0.273,0.633,4,459,Not eroded,0,1,1,1,0,0,0,0,0,1,1,0.579769431,0.272997033,0.633350337,1
