Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Before erosion ID.1,Erosion state,Encoded erosion state,Unnamed: 8,Z location Half,Unnamed: 10,Z location 0.22,Unnamed: 12,Z location 0.23,Unnamed: 14,Z location 0.24,Unnamed: 16,Z location 0.25,Force X,Force Y,Force Z,Sum of contact force (vector),Sum force by connectivity,3 connectivity,Unnamed: 24,4Connectivity,5Connectivity,2Connectivity,1Connectivity,0Connectivity,Normalized X,Normalized Y,Normalized Z,Threshold Z
218,0.242,0.199,0.281,4,218,Not eroded,0,0,1,0,1,0,1,0,1,0,1,1.79e-05,-1.12e-06,1.04e-05,2.07e-05,5.17e-06,0,0.037,1,1,0,0,0,0.6920222634508348,0.5326409495548962,0.8035714285714286,1
225,0.149,0.325,0.313,3,225,Not eroded,0,0,1,0,1,0,1,0,1,0,1,-1.41e-07,-7.04e-07,-2.89e-08,7.19e-07,2.4e-07,1,0.00129,1,1,0,0,0,0.3469387755102041,1.0,0.9178571428571428,1
226,0.174,0.164,0.236,2,226,Not eroded,0,0,1,0,1,0,1,0,0,0,0,6.17e-08,8.12e-08,8.59e-07,8.65e-07,4.32e-07,1,0.00155,1,1,1,0,0,0.4397031539888682,0.40281899109792285,0.6428571428571428,1
227,0.229,0.196,0.224,5,227,Not eroded,0,0,1,0,1,0,0,0,0,0,0,-7.83e-07,-7.16e-07,-3.63e-07,1.12e-06,2.24e-07,0,0.002,0,1,0,0,0,0.6437847866419295,0.521513353115727,0.6,1
228,0.31,0.324,0.258,0,228,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.9443413729128014,0.9962908011869436,0.7214285714285714,1
229,0.116,0.215,0.241,4,229,Not eroded,0,0,1,0,1,0,1,0,1,0,0,3.15e-07,-3.72e-08,3.94e-07,5.06e-07,1.27e-07,0,0.000905,1,1,0,0,0,0.22448979591836735,0.5919881305637982,0.6607142857142857,1
232,0.104,0.0613,0.271,6,232,Not eroded,0,0,1,0,1,0,1,0,1,0,1,2.81e-07,9.57e-08,6.17e-08,3.03e-07,5.06e-08,0,0.000542,0,0,0,0,0,0.1799628942486085,0.02188427299703265,0.7678571428571429,1
235,0.146,0.0561,0.266,4,235,Not eroded,0,0,1,0,1,0,1,0,1,0,1,1.78e-07,-8.65e-07,7.94e-08,8.87e-07,2.22e-07,0,0.00159,1,1,0,0,0,0.33580705009276435,0.002596439169139463,0.75,1
237,0.0726,0.166,0.289,0,237,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.0634508348794063,0.4102373887240356,0.832142857142857,1
238,0.161,0.0561,0.29,3,238,Not eroded,0,0,1,0,1,0,1,0,1,0,1,8.99e-08,-6.74e-07,-3.13e-08,6.8e-07,2.27e-07,1,0.00122,1,1,0,0,0,0.3914656771799629,0.002596439169139463,0.8357142857142856,1
239,0.148,0.161,0.234,3,239,Not eroded,0,0,1,0,1,0,1,0,0,0,0,1.16e-06,1.02e-07,8.42e-07,1.44e-06,4.8e-07,1,0.00258,1,1,0,0,0,0.3432282003710575,0.3916913946587537,0.6357142857142857,1
243,0.08,0.176,0.282,0,243,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.09090909090909091,0.44732937685459934,0.8071428571428569,1
247,0.0836,0.124,0.261,4,247,Not eroded,0,0,1,0,1,0,1,0,1,0,1,5.08e-07,2.92e-07,3.56e-07,6.86e-07,1.72e-07,0,0.00123,1,1,0,0,0,0.10426716141001852,0.25445103857566764,0.7321428571428571,1
249,0.274,0.0686,0.225,0,249,Not eroded,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.8107606679035251,0.0489614243323442,0.6035714285714285,1
250,0.29,0.183,0.296,0,250,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.87012987012987,0.47329376854599403,0.857142857142857,1
251,0.226,0.0949,0.284,0,251,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.6326530612244898,0.146513353115727,0.8142857142857142,1
253,0.276,0.136,0.285,0,253,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.8181818181818182,0.29896142433234424,0.8178571428571427,1
256,0.126,0.325,0.219,3,256,Not eroded,0,0,1,0,0,0,0,0,0,0,0,-3.98e-08,-7.45e-07,5.29e-07,9.14e-07,3.05e-07,1,0.00163,1,1,0,0,0,0.26159554730983303,1.0,0.5821428571428571,1
262,0.0652,0.139,0.219,6,262,Not eroded,0,0,1,0,0,0,0,0,0,0,0,-4.24e-08,-2.02e-08,-7.46e-08,8.81e-08,1.47e-08,0,0.000158,0,0,0,0,0,0.03599257884972168,0.3100890207715134,0.5821428571428571,1
263,0.25,0.299,0.282,0,263,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.7217068645640073,0.9035608308605341,0.8071428571428569,1
264,0.196,0.1,0.24,2,264,Not eroded,0,0,1,0,1,0,1,0,0,0,0,2.49e-07,3.1e-06,1.3e-06,3.37e-06,1.68e-06,1,0.00603,1,1,1,0,0,0.5213358070500927,0.16543026706231456,0.657142857142857,1
265,0.297,0.111,0.23,0,265,Not eroded,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.8961038961038961,0.20623145400593473,0.6214285714285714,1
266,0.0561,0.154,0.283,3,266,Not eroded,0,0,1,0,1,0,1,0,1,0,1,2.93e-07,1.06e-07,1.08e-07,3.3e-07,1.1e-07,1,0.00059,1,1,0,0,0,0.002226345083487927,0.365727002967359,0.8107142857142856,1
267,0.0963,0.102,0.313,0,267,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.15139146567717993,0.17284866468842727,0.9178571428571428,1
273,0.196,0.294,0.271,4,273,Not eroded,0,0,1,0,1,0,1,0,1,0,1,3.92e-07,1.62e-06,-9.77e-08,1.67e-06,4.19e-07,0,0.00299,1,1,0,0,0,0.5213358070500927,0.8850148367952522,0.7678571428571429,1
281,0.324,0.146,0.222,0,281,Not eroded,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.9962894248608535,0.33605341246290793,0.5928571428571429,1
286,0.0607,0.322,0.271,0,286,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.01929499072356214,0.9888724035608308,0.7678571428571429,1
291,0.257,0.305,0.241,5,291,Not eroded,0,0,1,0,1,0,1,0,1,0,0,2.29e-07,-2.59e-07,1.44e-06,1.48e-06,2.97e-07,0,0.00265,0,1,0,0,0,0.7476808905380334,0.9258160237388723,0.6607142857142857,1
292,0.282,0.284,0.278,0,292,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.8404452690166975,0.8479228486646883,0.7928571428571429,1
295,0.131,0.228,0.243,4,295,Not eroded,0,0,1,0,1,0,1,0,1,0,0,3.14e-07,5.87e-07,-4.73e-08,6.68e-07,1.67e-07,0,0.00119,1,1,0,0,0,0.28014842300556586,0.6402077151335311,0.6678571428571428,1
297,0.0952,0.325,0.221,3,297,Not eroded,0,0,1,0,1,0,0,0,0,0,0,-1.21e-07,-4.53e-07,9.45e-09,4.69e-07,1.56e-07,1,0.000839,1,1,0,0,0,0.14730983302411876,1.0,0.5892857142857143,1
298,0.144,0.237,0.325,0,298,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.3283858998144712,0.6735905044510385,0.9607142857142856,1
299,0.219,0.181,0.252,5,299,Not eroded,0,0,1,0,1,0,1,0,1,0,1,-1.05e-06,3.5e-07,-1.05e-06,1.52e-06,3.05e-07,0,0.00272,0,1,0,0,0,0.6066790352504638,0.46587537091988124,0.7,1
301,0.21,0.133,0.244,4,301,Not eroded,0,0,1,0,1,0,1,0,1,0,0,2.63e-06,-7.73e-07,-5.54e-07,2.8e-06,6.99e-07,0,0.00501,1,1,0,0,0,0.5732838589981447,0.2878338278931751,0.6714285714285714,1
305,0.281,0.168,0.236,0,305,Not eroded,0,0,1,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.8367346938775511,0.4176557863501484,0.6428571428571428,1
306,0.148,0.258,0.287,6,306,Not eroded,0,0,1,0,1,0,1,0,1,0,1,3.72e-07,7.65e-07,6.51e-07,1.07e-06,1.79e-07,0,0.00191,0,0,0,0,0,0.3432282003710575,0.7514836795252225,0.8249999999999998,1
309,0.324,0.153,0.309,0,309,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.9962894248608535,0.3620178041543026,0.9035714285714285,1
314,0.324,0.197,0.24,3,314,Not eroded,0,0,1,0,1,0,1,0,0,0,0,2.31e-06,3.45e-07,4.61e-06,5.17e-06,1.72e-06,1,0.00925,1,1,0,0,0,0.9962894248608535,0.5252225519287834,0.657142857142857,1
315,0.0941,0.184,0.29,0,315,ERODED,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1,1,1,0.14322820037105752,0.4770029673590504,0.8357142857142856,1
316,0.0646,0.106,0.222,4,316,Not eroded,0,0,1,0,1,0,0,0,0,0,0,1.51e-07,2.73e-08,-1.16e-07,1.92e-07,4.8e-08,0,0.000343,1,1,0,0,0,0.03376623376623378,0.1876854599406528,0.5928571428571429,1
