Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Erosion state,Encoded erosion state,3 connectivity,1 connectivity,2 connectivity,4 connectivity,5 connectivity,Porosity_here,Porosity_front,Porosity_diff,Norm Initial X,Norm Initial Y,Norm Initial Z,Threshold Z,Norm2 Initial Z,Norm Connectivity
484,0.306,0.0737,0.2837055,4,Not eroded,0,0,0,0,1,1,0.4096316,0.99,-0.5803684,0.9299151604573958,0.06831610044313147,0.8139842794377048,1,0.42128699697509503,0.5714285714285714
486,0.126,0.275,0.2536246,0,Not eroded,0,1,1,1,1,1,0.3138702,0.3559732,-0.042103,0.26595352268535594,0.811669128508124,0.7069726519476955,1,0.08836341333321573,0.0
489,0.172,0.286,0.2726733,0,Not eroded,0,1,1,1,1,1,0.311638,0.3858649,-0.0742269,0.43563260789376607,0.8522895125553912,0.7747376585987246,1,0.2991869414762921,0.0
490,0.309,0.0555,0.2894163,4,Not eroded,0,0,0,0,1,1,0.4096316,0.99,-0.5803684,0.9409811877535964,0.0011078286558345702,0.8343002275067435,1,0.48449188783481156,0.5714285714285714
493,0.259,0.0677,0.3026619,0,ERODED,1,1,1,1,1,1,0.3873386,0.99,-0.6026614,0.7565473994835854,0.04615952732644016,0.881420932441824,1,0.6310889849790746,0.0
494,0.113,0.245,0.2999597,3,Not eroded,0,1,0,0,1,1,0.2528316,0.99,-0.7371684,0.21800073773515308,0.7008862629246675,0.8718079614268776,1,0.6011820969631881,0.42857142857142855
495,0.214,0.099,0.3248844,0,ERODED,1,1,1,1,1,1,0.3492331,0.99,-0.6407669,0.5905569900405754,0.16174298375184637,0.9604766086980774,1,0.8770388846656423,0.0
499,0.316,0.214,0.2944908,0,ERODED,1,1,1,1,1,1,0.3647194,0.99,-0.6252806,0.9668019181113979,0.586410635155096,0.8523525631648537,1,0.5406544602708326,0.0
511,0.294,0.25,0.2913778,0,Not eroded,0,1,1,1,1,1,0.3829345,0.99,-0.6070655,0.885651051272593,0.7193500738552436,0.8412781871861964,1,0.5062009992415033,0.0
513,0.0548,0.15,0.2571364,0,Not eroded,0,1,1,1,1,1,0.2842093,0.3893806,-0.1051713,0.003319808188860192,0.35007385524372225,0.7194657433585049,1,0.12723063609029922,0.0
