Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Before erosion ID.1,Erosion state,Encoded erosion state,Unnamed: 8,Z location Half,Unnamed: 10,Z location 0.22,Unnamed: 12,Z location 0.23,Unnamed: 14,Z location 0.24,Unnamed: 16,Z location 0.25,Force X,Force Y,Force Z,Sum of contact force (vector),Sum force by connectivity,3 connectivity,Unnamed: 24,4Connectivity,5Connectivity,2Connectivity,1 connectivity,0Connectivity,Normalized X,Normalized Y,Normalized Z,Threshold Z
321,0.056,0.266,0.252,3,321,Not eroded,0,0,1,0,1,0,1,0,1,0,1,-2.33E-07,9.46E-09,6.00E-08,2.41E-07,8.03E-08,1,0.000431,1,1,0,0,0,0.001855288,0.78115727,0.7,1
324,0.0971,0.23,0.301,0,324,ERODED,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0.154359926,0.647626113,0.875,1
327,0.231,0.0647,0.27,4,327,Not eroded,0,0,1,0,1,0,1,0,1,0,1,3.92E-07,-1.88E-07,-3.04E-07,5.31E-07,1.33E-07,0,0.00095,1,1,0,0,0,0.651205937,0.034495549,0.764285714,1
334,0.149,0.0561,0.256,4,334,Not eroded,0,0,1,0,1,0,1,0,1,0,1,6.86E-07,-9.99E-07,6.89E-08,1.21E-06,3.04E-07,0,0.00216,1,1,0,0,0,0.346938776,0.002596439,0.714285714,1
339,0.127,0.168,0.298,0,339,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0.265306122,0.417655786,0.864285714,1
340,0.0598,0.254,0.244,3,340,Not eroded,0,0,1,0,1,0,1,0,1,0,0,4.49E-07,-5.01E-08,1.48E-07,4.76E-07,1.59E-07,1,0.000851,1,1,0,0,0,0.015955473,0.736646884,0.671428571,1
341,0.323,0.089,0.272,0,341,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0.99257885,0.12462908,0.771428571,1
343,0.324,0.316,0.238,0,343,Not eroded,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0.996289425,0.966617211,0.65,1
345,0.156,0.0723,0.286,3,345,Not eroded,0,0,1,0,1,0,1,0,1,0,1,-2.01E-07,-1.93E-07,-1.88E-07,3.36E-07,1.12E-07,1,0.000601,1,1,0,0,0,0.372912801,0.06268546,0.821428571,1
346,0.193,0.113,0.278,2,346,Not eroded,0,0,1,0,1,0,1,0,1,0,1,-3.04E-07,1.46E-06,-8.47E-07,1.72E-06,8.59E-07,1,0.00308,1,1,1,0,0,0.510204082,0.213649852,0.792857143,1
358,0.0659,0.166,0.233,0,358,Not eroded,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0.038589981,0.410237389,0.632142857,1
361,0.207,0.0898,0.234,0,361,Not eroded,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0.562152134,0.127596439,0.635714286,1
363,0.108,0.0942,0.236,4,363,Not eroded,0,0,1,0,1,0,1,0,0,0,0,2.72E-07,2.07E-07,1.85E-07,3.89E-07,9.71E-08,0,0.000696,1,1,0,0,0,0.194805195,0.143916914,0.642857143,1
364,0.271,0.325,0.284,0,364,ERODED,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0.799628942,1,0.814285714,1
370,0.304,0.0985,0.283,2,370,Not eroded,0,0,1,0,1,0,1,0,1,0,1,-2.43E-07,1.29E-06,6.23E-07,1.45E-06,7.26E-07,1,0.00259,1,1,1,0,0,0.922077922,0.159866469,0.810714286,1
372,0.158,0.18,0.273,0,372,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0.380333952,0.462166172,0.775,1
374,0.323,0.0561,0.229,3,374,Not eroded,0,0,1,0,1,0,0,0,0,0,0,6.25E-08,-9.09E-07,-6.55E-09,9.11E-07,3.04E-07,1,0.00163,1,1,0,0,0,0.99257885,0.002596439,0.617857143,1
377,0.319,0.151,0.3,0,377,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0.977736549,0.354599407,0.871428571,1
379,0.277,0.26,0.291,0,379,Not eroded,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0.821892393,0.758902077,0.839285714,1
381,0.056,0.262,0.285,0,381,ERODED,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0.001855288,0.766320475,0.817857143,1
